gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
ENSG00000169136	52.9680947166413	-3.93603820609328	0.215769300397411	-18.2418824125756	2.40047229324947e-74	2.95474134576078e-70	ATF5
ENSG00000140105	103.933951749743	-2.62615376957051	0.170746115461046	-15.3804598276184	2.21369916610718e-53	1.36242115178066e-49	WARS1
ENSG00000239672	331.62239595198	1.69275719185335	0.13170218582905	12.8529164584296	8.28276055228814e-38	3.39841665460382e-34	NME1
ENSG00000145833	125.072649823022	2.0319065567181	0.162206987475842	12.526627787972	5.33847046317846e-36	1.64278082328159e-32	DDX46
ENSG00000166295	128.83242390689	-1.46962549701472	0.117665626429501	-12.4898455191181	8.4818171053489e-36	2.08805373499479e-32	ANAPC16
ENSG00000160818	76.2712443785396	2.80452277902593	0.227101287710399	12.3492156618781	4.91886368787849e-35	1.00910488556827e-31	GPATCH4
ENSG00000115758	332.519522771949	1.67518018637534	0.136019717125784	12.315715851888	7.45507194472301e-35	1.31092115096565e-31	ODC1
ENSG00000226950	407.001172663566	1.3541234498438	0.111376229181827	12.1581010579297	5.19523156705232e-34	7.99351316985588e-31	DANCR
ENSG00000135829	273.913044030399	1.74589894942005	0.145577633596073	11.9929065083192	3.87080440724567e-33	5.2682292648237e-30	DHX9
ENSG00000092621	55.7276051640515	-3.18617000754925	0.265855749335464	-11.9845819227662	4.27998152963173e-33	5.2682292648237e-30	PHGDH
ENSG00000156639	43.3738119966148	-2.49629584019744	0.214201066112532	-11.6539842004615	2.18976111703007e-31	2.45034268995665e-28	ZFAND3
ENSG00000101255	99.4995235472503	-1.97052496594754	0.169662015740393	-11.6144144424331	3.48165438428833e-31	3.57130698468376e-28	TRIB3
ENSG00000132507	316.656918319296	1.25270355380445	0.113536272714969	11.0335095899206	2.63381992162389e-28	2.49382226271296e-25	EIF5A
ENSG00000167513	120.086683517827	-1.57895970455877	0.145234934470258	-10.8717624331777	1.57135680945146e-27	1.38155935482414e-24	CDT1
ENSG00000147689	223.420636777158	-1.74620216823824	0.162034596864616	-10.776724243016	4.43395637306202e-27	3.63850459973469e-24	FAM83A
ENSG00000074800	1602.75999086574	0.759908902089459	0.0706181131979652	10.7608213767931	5.2698344462769e-27	4.0541495124514e-24	ENO1
ENSG00000149932	89.950858946923	-1.36265609405782	0.131409215334681	-10.3695626717451	3.41082130226007e-25	2.43363724594885e-22	TMEM219
ENSG00000135269	47.0859836438045	-2.27581943132312	0.219557069527971	-10.3655028563459	3.55881634796322e-25	2.43363724594885e-22	TES
ENSG00000086232	179.86346296035	-1.14745726317964	0.110929775299725	-10.3439970024214	4.45557268487074e-25	2.88650758831968e-22	EIF2AK1
ENSG00000168159	68.5805439723859	-1.55920420567883	0.150952571741443	-10.3290999794922	5.204662221912e-25	3.20320936447574e-22	RNF187
ENSG00000134684	177.79909281197	-1.30641744882949	0.128413473137271	-10.1735232052555	2.60318649638053e-24	1.52583917066419e-21	YARS1
ENSG00000053372	92.2210294943743	2.00022690342685	0.197025706316646	10.1521113199931	3.24270961045967e-24	1.81429602705219e-21	MRTO4
ENSG00000204334	34.4558862721746	-2.18413710036529	0.216608242874684	-10.0833517292733	6.54544647098939e-24	3.50295220049602e-21	ERICH2
ENSG00000137193	182.221207262469	-1.80245640788248	0.181263688396081	-9.94383609774014	2.6829186447321e-23	1.37600189991698e-20	PIM1
ENSG00000110104	52.4854902639893	2.1022256012508	0.213590758248426	9.84230599905318	7.39950284944641e-23	3.64321922295343e-20	CCDC86
ENSG00000182199	146.755442316048	-1.14240156501671	0.116731264300053	-9.7865946356943	1.28552659231949e-22	6.08597954802329e-20	SHMT2
ENSG00000106948	16.3669544221267	-3.62010734830055	0.370927492485917	-9.75960914635627	1.67800664396035e-22	7.64984584463259e-20	AKNA
ENSG00000050426	41.5325427695578	-2.32818309977725	0.240694716243776	-9.67276364064121	3.93602733597886e-22	1.73030573137728e-19	LETMD1
ENSG00000167553	978.195936841605	1.05793153434381	0.111042741559251	9.52724617105488	1.61510693360124e-21	6.85529353299921e-19	TUBA1C
ENSG00000119403	371.788168617106	1.36208612991511	0.143142780401949	9.51557686730925	1.80707468024607e-21	7.41442741304962e-19	PHF19
ENSG00000067225	382.883042830638	1.37718339810252	0.145380028060719	9.47298894128245	2.7194846300945e-21	1.07981084876881e-18	PKM
ENSG00000130656	952.315385176654	2.60302727911458	0.278871000169171	9.33416266852957	1.01792637661403e-20	3.91551742804442e-18	HBZ
ENSG00000249196	109.921035065376	-1.24660851228534	0.134243513687153	-9.28617314941928	1.59935434105868e-20	5.96559169214887e-18	TMEM132D-AS1
ENSG00000167112	79.7969149753664	1.64134202236683	0.178137727690879	9.21389333771586	3.14505665649044e-20	1.13860301131591e-17	TRUB2
ENSG00000100285	21.8023712319865	4.02178853978264	0.439518332664815	9.15044547834535	5.66992483543602e-20	1.99403156569663e-17	NEFH
ENSG00000175130	305.09063424493	1.10681551457818	0.121963624720215	9.0749640896392	1.13714993117211e-19	3.88810513966597e-17	MARCKSL1
ENSG00000188536	412.787564632412	1.96244282636692	0.21675018240723	9.05393852301301	1.379024764504e-19	4.58767995304857e-17	HBA2
ENSG00000148296	61.1096180194436	2.26231995144408	0.252434994640526	8.9619902132257	3.18870163548537e-19	1.03288759029446e-16	SURF6
ENSG00000249992	66.5741234206085	2.47531124803013	0.276654339094309	8.94730679494715	3.64260784933448e-19	1.14966307737072e-16	TMEM158
ENSG00000130066	40.6262400145601	-2.40694373781318	0.270595869819055	-8.89497588940541	5.84319835170544e-19	1.79809821277856e-16	SAT1
ENSG00000048162	65.2170528798123	2.81669917705272	0.317744704677296	8.86466126922047	7.67370046177867e-19	2.30379460936668e-16	NOP16
ENSG00000125826	44.4713965709104	-2.22145410325495	0.251819402481919	-8.82161613188026	1.12819433513806e-18	3.30641525505104e-16	RBCK1
ENSG00000109971	968.77266830836	1.81584260006435	0.20719977126629	8.76372878679802	1.88895970294143e-18	5.40725697290838e-16	HSPA8
ENSG00000163216	8.30257202503463	-3.64048055426138	0.415817208781096	-8.75500214368927	2.04099606124306e-18	5.70968648132746e-16	SPRR2D
ENSG00000197111	367.858212833685	-0.971072121060462	0.111957615313287	-8.67356917475554	4.18782546959965e-18	1.14550986011782e-15	PCBP2
ENSG00000065978	1909.42647553507	0.811252153051985	0.0944655063922363	8.5878135208796	8.86399832670492e-18	2.37189033485676e-15	YBX1
ENSG00000111669	365.665137973553	0.94649324225727	0.110298744560956	8.58117874346423	9.39058284585544e-18	2.45933370743903e-15	TPI1
ENSG00000105447	28.515960652877	2.77078585428544	0.32378672011401	8.55744130985299	1.15400094133738e-17	2.95929116394205e-15	GRWD1
ENSG00000153187	564.384455767337	1.26677761561359	0.149399821333319	8.47911064623923	2.26921799944902e-17	5.70036823575877e-15	HNRNPU
ENSG00000172432	24.2367042507875	-2.44871006937175	0.289371882723136	-8.46215619267549	2.62478644500638e-17	6.46169927031671e-15	GTPBP2
ENSG00000183431	151.823283679852	1.35596699272329	0.160557725007062	8.4453550438862	3.03122758036208e-17	7.31595691895625e-15	SF3A3
ENSG00000114767	22.685654984782	3.4650705327855	0.414188907273129	8.36591823667678	5.96485512147213e-17	1.41195003250386e-14	RRP9
ENSG00000112081	233.651887619967	1.07515334851526	0.12945536232911	8.30520520101692	9.964708304315e-17	2.3142565003361e-14	SRSF3
ENSG00000213934	2071.44769681278	1.31648963941308	0.158591051231373	8.30115967572737	1.03100014179285e-16	2.35010754543114e-14	HBG1
ENSG00000125445	105.139935355107	1.51259622557257	0.183263613640615	8.25366364617697	1.53611290694748e-16	3.43782068574845e-14	MRPS7
ENSG00000146733	26.3004643118381	-2.50098954696057	0.304750655611431	-8.20667486979724	2.27398259114226e-16	4.99829494899465e-14	PSPH
ENSG00000164615	45.2532932281941	-1.72786894059901	0.210737405441768	-8.1991563717741	2.42079862101364e-16	5.22765091685208e-14	CAMLG
ENSG00000167658	1275.7572453435	-0.932094098831746	0.113824274845617	-8.18888677389752	2.6365342824312e-16	5.5953621521458e-14	EEF2
ENSG00000031698	117.821113061373	-1.22489123585783	0.149850021020796	-8.17411454141763	2.98046571532026e-16	6.21805974404697e-14	SARS1
ENSG00000099783	399.943333565312	1.47313403969745	0.180373763811827	8.16711925595943	3.15840641947656e-16	6.47947076955616e-14	HNRNPM
