pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
BAE_BRCA1_TARGETS_UP	0.000128336755646817	0.00809023441650164	-0.534655751073629	-1.83162702985876	0	61	ALOX5|MARCKS|SAT1|EPAS1|AARS1|SPINT2|LGALS3|ATF4|MSMO1|CAMLG|CCNG2|VEGFA|BTG1|TCEA1|LAMP2|IFRD1|TRAM1|EPHX2
BASAKI_YBX1_TARGETS_DN	0.000106236056517582	0.00809023441650164	-0.391726343005622	-1.595811801141	0	282	ASS1|TSC22D3|FAM107B|ISG20|CUEDC1|SLC22A18|KLHL24|MRNIP-DT|SLC7A11|SAT1|YPEL5|GDF15|ZNF350|ZBTB20|CAMK2N1|SLC27A1|SPATA20|FAM83A|ABRAXAS1|MEIS1|GSTM3|H6PD|DDIT4|ACSM3|STOX1|IFI27|CNIH1|CRYM|NEBL|TRAPPC6A|RFX3|MXI1|NCALD|HINT3|VEGFA|BTG1|PDCD4|SCIN|TMEM106B|SERPINB1|FAM228B|CD55|ABCA5|LAMB1|SKIL|ZNF226|DYNC2LI1|GABARAPL1|MAFF|BBX|LMAN1|ZBTB18|BCKDHA|CDK19|FSBP|LSM8|AMN1|CTBS|TMED4|TM7SF2|SEPTIN6|HLA-E|DMXL2|LAMP2|SBF2|GPD1L|ZNF626|RUFY3|NT5DC1|KRCC1|ANKRD36B|PIGP|EEF2K|RAB3IP|IRF2BP2|SCD|GLRX|ZC3H11A
BENPORATH_EED_TARGETS	0.000104766893661603	0.00809023441650164	-0.401840934096323	-1.65066361538731	0	325	TM6SF1|PIGZ|TSLP|PAX6|NDUFA4L2|ULBP2|SETD7|FOXA2|CUEDC1|ROBO3|ALOX5|LTK|RTN4RL2|FBXL8|SLC1A4|GRK5|STC2|RGS20|ULBP1|CNNM2|RELN|EPAS1|HLA-C|UCN|HLA-B|NKX3-2|CAMK2N1|PAX8|MAPT|LRCH2|SPAG6|ATF3|PPM1E|DPF3|CORO6|BATF3|MNX1|ABCA8|BTG2|STXBP6|LGALS3|BACH2|GPAT3|COLGALT2|ELAPOR1|JUN|DCHS2|DLX2|CDT1|H2AC11|NXPH4|ANKRD13C-DT|SCIN|OTX1|ASAH1|ITPKA|HSPA1L|SOX5|SORCS1|VSTM4|H4C8|FGF5|NTRK1|PIP5K1B|PLCB1|RAB32|FAM89A|USH1G|CNRIP1|SLC9A2|ANKRD9|C17orf100|CITED1|PIR|EN1|TAP1|TMEM106C|FZD2|H2AC15|SLC30A3|HYOU1|EEF2|ONECUT2|H3C2|WT1-AS|GLIPR2|VDR|EDEM2|ANKRD27|DLK1|NPAS1
BENPORATH_ES_WITH_H3K27ME3	0.000105518624037143	0.00809023441650164	-0.489816588825982	-2.00276767605626	0	294	UNC5B|PIGZ|LINC01138|MLXIPL|TSLP|PAX6|NDUFA4L2|CRYL1|ULBP2|FOXA2|PARD3B|ITIH5|ROBO3|LTK|KLHL13|RTN4RL2|FBXL8|SLC1A4|GRK5|STC2|TTLL7|RGS20|ULBP1|EIF4E3|TMEM54|NIBAN1|CNNM2|EPAS1|IL10RA|HLA-C|UCN|HLA-B|LEKR1|NKX3-2|CAMK2N1|PAX8|MAPT|MEIS1|LRCH2|SPAG6|ATF3|PPM1E|DPF3|CORO6|BATF3|TLE2|MNX1|SPON2|BTG2|SLC30A10|STXBP6|LGALS3|TMEM185A|GPAT3|RTBDN|COLGALT2|ELAPOR1|HEYL|JUN|RGS9|MXRA7|DCHS2|DLX2|NXPH4|GABBR2|GRB10|RCSD1|SCIN|OTX1|GSN|TCEAL1|ITPKA|HSPA1L|GKAP1|SORCS1|LAMB1|FUCA1|FGF5|FBXO25|NTRK1|PIP5K1B|FAM89A|USH1G|CNRIP1|SLC9A2|CBX4|C17orf100|CITED1|PIR|EN1|TAP1|TMEM106C|FZD2|SLC30A3|PRRT1|ONECUT2|GPD1L|WT1-AS|GLIPR2|VDR|ANKRD27|DLK1|NPAS1
BENPORATH_PRC2_TARGETS	0.000113378684807256	0.00809023441650164	-0.512856184119099	-1.98186605249111	0	151	PIGZ|TSLP|PAX6|NDUFA4L2|FOXA2|ROBO3|LTK|RTN4RL2|FBXL8|SLC1A4|RGS20|EPAS1|UCN|NKX3-2|CAMK2N1|PAX8|MAPT|LRCH2|SPAG6|ATF3|PPM1E|DPF3|CORO6|BATF3|MNX1|BTG2|STXBP6|LGALS3|GPAT3|COLGALT2|ELAPOR1|JUN|DCHS2|DLX2|OTX1|ITPKA|SORCS1|FGF5|NTRK1|PIP5K1B|FAM89A|USH1G|CNRIP1|SLC9A2|CITED1|PIR|EN1|FZD2|SLC30A3|ONECUT2|WT1-AS|VDR|ANKRD27|NPAS1
BENPORATH_SUZ12_TARGETS	0.000106917566556185	0.00809023441650164	-0.467567999110885	-1.89607025735461	0	268	AJUBA|TSC22D3|UNC5B|PIGZ|LINC01138|TSLP|PAX6|NDUFA4L2|SETD7|FOXA2|ROBO3|ALOX5|LTK|RTN4RL2|FBXL8|SLC1A4|RGS20|EIF4E3|TMEM54|NIBAN1|EPAS1|SMIM14|LINC01597|UCN|NKX3-2|CAMK2N1|PAX8|SLC12A5|MAPT|GSTM3|LRCH2|SPAG6|ATF3|PPM1E|DPF3|CORO6|BATF3|MNX1|SPON2|GNG12|BTG2|SLC30A10|STXBP6|LGALS3|GPAT3|COLGALT2|ELAPOR1|JUN|DCHS2|DLX2|SMAD6|IL15RA|GABBR2|RCSD1|OTX1|LETM2|TCEAL1|ITPKA|FOXO4|SYTL4|SORCS1|FGF5|NTRK1|PIP5K1B|PLCB1|FAM89A|USH1G|PCSK9|CNRIP1|SLC9A2|LBH|CITED1|PIR|EN1|FGF13|FZD2|SLC30A3|TBC1D1|ONECUT2|GPR158|WT1-AS|PYCARD|VDR|ANKRD27|SQOR|NPAS1
BERENJENO_TRANSFORMED_BY_RHOA_DN	0.000105418511490618	0.00809023441650164	-0.4539969759012	-1.85627771556222	0	297	DNAJB2|COL6A3|ATF5|MMP14|YPEL3|MARCKS|UBE2H|ST3GAL5|SMIM14|IDH1|DDIT3|ZFP90|FN1|TBX15|MEIS1|ANXA4|PCK2|GSTM3|RABAC1|SEL1L|NPC2|IFI27|LAMB2|HEBP1|CYP4V2|P2RX4|ITPR2|RRAS|PPP3CA|MAPRE3|CCNG2|ITM2C|BPHL|KDELR3|PRNP|SMAD6|GRB10|PDCD4|GAS6|GSN|NUCB2|STX5|PLD3|ARFGAP3|DHRS7|TXNIP|HSD17B11|SND1|ASCC1|MRC2|GSTZ1|NRBP2|POU6F1|MEG3|ID3|LMO7|MAGED2|PSAP|PLTP|SIRT2|TXNDC16|EPRS1|MCEE|HLA-E|EN1|SEC23A|FAM8A1|EIF2AK3|CD24|PHYH|SLC1A5|LAMP2|RAB3D|SQSTM1|ITM2B|MXD4|TOM1|DTD1|VDR|DLK1|CYP51A1|FKBP9|ALDH1A1|SLC44A2|TPP1|GABARAP|ERGIC3|LRBA|WASHC3|RPL22|CTDSP2|SCD|NFIB|CD276|LRP6|BRI3|KLF9|RAB24|ANXA6|ECH1|GRN|DAP|NNMT|CASK|ZSCAN21|TMED3|RAB5B|HES6|LAPTM4A|SEC31A|NAGA|NFIX|MKRN1|CSRP1|TMEM205|CTNND1|ATRAID|PTEN|RRAGC|PRXL2A|TP53INP2|RCN1|ST13|TAPBP
BHAT_ESR1_TARGETS_VIA_AKT1_DN	0.000133138064172547	0.00809023441650164	-0.603310607020743	-1.98297273441492	0	48	YPEL3|UBE2H|VPS9D1|LETMD1|SLC16A5|IL1R1|HBP1|INSIG2|ZNF277|GABBR2|SLC22A23|PLEKHF1|FAXDC2|LAMB1|KIAA0513|SASH1|GTF2IRD1|CREB3L2|GRHL1|SPATA7|SNTB2|RBL2
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN	0.000123016361176036	0.00809023441650164	-0.541885377156121	-1.95380686845187	0	88	CTH|PSAT1|HERPUD1|MTHFD2|AARS1|TRIB3|DNASE2|CEBPG|SESN2|GARS1|CCNB1IP1|ATF4|GPT2|ZNF277|RCSD1|ZFAND1|IGBP1|SARS1|PRTFDC1|LAPTM5|ZNF581|NOA1|ARHGAP9|EPRS1|NOP53|HLA-E|PRKCZ|MYL5|IFRD1|EEF2|METTL9|CRTAP|TMPRSS4|KRCC1|MACROD1|EIF2S3|PYCR1|PGLS|AIG1|RPL3|ZNF490|GCHFR|ABHD14B|RPL12|CSNK2A2|TMEM79
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP	0.00010998680158381	0.00809023441650164	-0.44805185208409	-1.78143951524946	0	207	CYFIP2|DHX58|PLAAT4|REC8|G0S2|SLC7A11|APOL6|IFIT3|IFIH1|IL23A|BMPR2|GDF15|APOBEC3F|KDM7A|SAMD9|PABIR3|TRANK1|GALM|SOCS1|TNFAIP3|GPAT3|NCALD|HBEGF|CTSS|CCNG2|C3|KDM7A-DT|IL15RA|LINC-PINT|KLF6|PMAIP1|SEMA7A|IRF1|BLZF1|DTX3L|WIPF1|DDX60L|DAPP1|UBA7|SKIL|TRIM5|BACH1|MAFF|FGF5|CREB5|DCP1A|RP2|DRAM1|THEMIS2|HELZ2|IRF2|TGM2|SP140L|ELOVL7|ARL5B|MOB3C|TAP1|NT5C3A|STAT2|NPC1|CXCL2|NCOA7|PLEKHA4|STARD5|TDRD7|IRF9|CASP7|IL6|TRIM56|SEC24A|LCP1|FSD1L|NMI|GLRX|PLSCR1|GSDMD
