pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
AMIT_EGF_RESPONSE_40_HELA	0.0001941370607649	0.00597917311512874	0.648612916262994	2.04084922551032	0	29	JUN|BTG2|MBNL2|DUSP1|CDKN2AIP|KLF6|PPP1R15A|LDLR|CCNL1|CBX4|ZFP36|IER3|HES1|JUNB
AMIT_EGF_RESPONSE_60_HELA	0.000193535900909619	0.00597917311512874	0.677387361813072	2.18877776790406	0	33	HSPH1|CITED2|MBNL2|PMAIP1|KLF6|ZFP36L1|ATG4A|DNAJC24|LDLR|SLC20A1|MED20|TIPARP
AMIT_SERUM_RESPONSE_60_MCF10A	0.000196232339089482	0.00597917311512874	0.656636814470665	1.98596361081362	0	25	MBNL2|PMAIP1|TNFAIP3|ZC3H12A|FN1|SLC35D1|CYBRD1|ELL2|MAGED2|BMP1|ITSN1|PIP5K1A|PCBD1|PNRC1|TGIF1
AMUNDSON_RESPONSE_TO_ARSENITE	0.000179953212164837	0.00597917311512874	0.451704290499282	1.95330880450847	0	163	SERPINH1|HSPA4L|UBE2H|DNAJB4|FOXO3|CDC42EP3|ANLN|CPEB4|KDM6A|TSC1|DNAJA1|UBXN8|ZFX|ATP6V0E1|PLTP|RPS6KC1|SLC7A5|ADAM17|PRNP|BMP2K|SIAH2|ACAP2|ID3|UBE2B|CHD2|DNTTIP2|ZFAND5|DYRK1A|ATP2C1|TULP4|NEU1|KDM2A|ADNP|DAZAP2|FXR1|JUNB|ST13|LYZ|AHSA1|DNAJB6|NFE2L1|ARIH1|HSPA4|ATF3|HEXA|CTSA|PLIN2|MAFG|AP4B1|CEBPG|E2F6|SOD1|CHERP|ME1|NFE2L2|GTF3C3|HSPE1|RBM5
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_UP	0.00017905102954342	0.00597917311512874	0.552918013049817	2.42986163758259	0	183	JUN|USPL1|BTG2|IER5|BCL10|DBP|HBP1|MXD1|CDKN2AIP|TNFAIP3|KLF6|SERTAD2|PPP1R15A|SNHG1|ZC3H12A|SKIL|GPCPD1|DCP1A|BTG1|EPC1|ESF1|ZNF778|PCF11|KDM7A|MIER1|IRF1|CCNL1|ZNF436-AS1|KLF11|CCNT2|TIPARP|ETV3|PPP1R15B|MED26|ARID4B|AEBP2|INO80D|ADNP2|TBC1D15|IL20RB|ENSG00000284691|CRTC2|DUSP10|CHD2|ZFP36|SERTAD3|IER3|PPTC7|SNHG20|TET3|KMT2E|RBBP6|UBXN7|CYLD|ZBTB43|ZNF143|TBC1D22B|ARID3B|ZNF267|HES1|OTUD3|H2BC21|HIVEP1|MYNN|ZEB2|CHASERR|FOXN2|ELL|SNIP1|TAF1D|CEP85L|FBXW7|ATF3|ZBTB21|MAFG|KLF10|SNHG10|EPM2AIP1|PNN|B3GNT5|ZNF296|MDM4|CCNT1
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	0.000178922884236894	0.00597917311512874	0.526912225622797	2.35663274562383	0	211	USPL1|BTG2|IER5|DUSP1|BTN2A1|GPBP1|BCL10|DBP|HBP1|MXD1|CDKN2AIP|TNFAIP3|KLF6|SERTAD2|ZFP36L1|PPP1R15A|SNHG1|SHOX2|PLEKHA4|ZC3H12A|SKIL|DCP1A|EPC1|PCF11|KDM7A|MIER1|IRF1|CCNL1|ZNF436-AS1|CNOT4|KLF11|CCNT2|TIPARP|ETV3|PPP1R15B|MED26|ARID4B|AEBP2|SNAI1|INO80D|TBC1D15|IL20RB|ENSG00000284691|CRTC2|THAP9-AS1|DUSP10|CHD2|ZFP36|SERTAD3|IER3|PPTC7|SNHG20|TET3|RBBP6|EIF1B|UBXN7|CYLD|ZBTB43|ZNF143|TBC1D22B|ARID3B|BST2|PLEKHF2|ZNF267|HES1|OTUD3|H2BC21|HIVEP1|MYNN|ZEB2|CHASERR|FOXN2|TICAM1|ELL|SNIP1|TAF1D|CEP85L|FBXW7|ATF3|ZBTB21|TRIM38|MAFG|SNHG10|PPP4R2|EPM2AIP1|PNN|B3GNT5|ZNF296|MDM4|CCNT1|RHEBL1
BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	0.000186636804777902	0.00597917311512874	0.543169432310014	1.99453646787739	0	59	IER5|DBP|TNFAIP3|SERTAD2|PPP1R15A|ZC3H12A|PCF11|IRF1|CCNL1|C11orf96|INO80D|ARRDC3|ZFP36|IER3|RLF|ZBTB43|PLEKHF2|ZNF267|JUNB|H2BC21|MALAT1|FOXN2|SNIP1|CEP85L|ATF3|ZBTB21|KLF10
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_UP	0.000187125748502994	0.00597917311512874	0.724231658679997	2.74467627487293	0	70	HSPA6|HSPA1B|HSPA1A|CRYAB|JUN|DNAJB1|ZFAND2A|BAG3|DNHD1|RBM15|IER5|DEDD2|DUSP1|MYLIP|MXD1|CDKN2AIP|TNFAIP3|PPP1R15A|ZC3H12A|FKBP4|HSPD1|EPC1|LRIG2|ZNF778|AMH|OSR2|MED26|PPRC1|SLC25A25|TENT4B
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	0.000186950831931202	0.00597917311512874	0.551011703386065	2.10038868714615	0	72	HSPA6|HSPA1B|ZC3HAV1|P4HA2|PMAIP1|MICB|MXD1|TNFAIP3|PPP1R15A|PLEKHA4|ZC3H12A|CHST11|LDLR|ANTXR2|KDM7A|IRF1|SAMD4A|IL20RB|B2M|CD55
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	0.000179565451607111	0.00597917311512874	0.553232597139173	2.40946074726743	0	172	HSPA6|HSPA1B|HSPA1A|JUN|DNAJB1|ZC3HAV1|BTG2|CDC42EP3|IER5|PMAIP1|DUSP1|MYLIP|SPTBN1|IGSF3|TNFAIP3|KLF6|KLHL24|SLC5A3|PPP1R15A|FN1|FAXDC2|CPQ|TXNIP|IRF1|CCNL1|KLF11|PLTP|NEK7|SLC7A5|CDK1|MITF|CDKN1C|TPM4|ZFP36|CALU|KIF13B|GFPT1|CYLD|NR1H3|EMP2|MT-ND4|GLS|BST2|JUNB|PPP1R12B|ITM2A|CELF2|PLBD1|RABGAP1L|MAN1A1|ATF3|CFH|SLC31A1|SRGN|TMT1A|MYC|ADAM10|RPS6KA5|SLC38A1|ASPM|EMC1|COL18A1|ME1|EIF5|CLIC2|REL|SLC7A11|ABCC4|TOP2A
