pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
AMIT_EGF_RESPONSE_480_HELA	0.000245639891918448	0.0299716607605461	-0.41338731847508	-1.79414788783283	0	109	TUBB4B|DUSP7|SLC19A1|MAP2K3|MYO9B|RRBP1|EHD1|CCND1|HMGXB3|RRP1|PHLDA2|ZFP36L2|ARHGDIA|DAPK3|BRD2|RANGAP1|EFHD2|SMTN|SPHK1|PDLIM7|PPIF|TRAF4|MAD1L1|TNFRSF12A|PLEC|TMEM158|GAK|TUBB2A|RELA|POM121|BRD3OS|CYB561|TSPAN14|NCLN
AMUNDSON_RESPONSE_TO_ARSENITE	0.000323206205559147	0.0299716607605461	0.386704889302058	1.68609792428704	1	170	CTH|SLC1A4|DDIT3|STC2|ZNF43|ATF3|WARS1|CEBPG|TNFRSF10B|CARS1|SLC7A5|DLC1|GARS1|CEBPB|UBE2H|TSC22D3|SLC43A1|PRNP|VEGFA|MARS1|SCRN3|SIAH2|DNAJB5|EIF4EBP1|RNF115|HPS5|N4BP2L2|NFE2L2|ADAM17|RPS6KC1|ARIH1|PLIN2|EIF2S2|BCAS2|FHL2|PLTP|TMF1|HSPA9|UBXN8|LEPR|CNTRL|TPP1|CCT8|ASB3|IARS1|KDM6A|BCAT1|PFDN5|TNKS|ZNF184|UBE2B|ME1|ANLN|RAD51AP1|PEX11B|NPM1
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN	0.000172980453208787	0.0299716607605461	0.641102518350333	2.47144162880131	0	76	CTH|SESN2|PSAT1|GPT2|TRIB3|HERPUD1|MTHFD2|ZFAND1|CEBPG|IFRD1|CCNB1IP1|GARS1|AARS1|RCSD1|TMPRSS4|TMEM79|DNASE2|SARS1|ATF4|ELAC1|EPRS1|LENG1|NOSTRIN|AIG1|RHAG|JRKL|CRTAP|ABHD14B|FANCF|STAR|PRTFDC1
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_UP	0.00018470631695604	0.0299716607605461	0.757692386026132	2.30426795585422	0	24	INHBE|ADM2|DDIT3|STC2|CHAC1|ATF3|ALDH1L2|MTHFD2|FUT1|TSC22D3|BEX2
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_UP	0.000237981913374584	0.0299716607605461	-0.456895782106348	-1.87554492459723	0	78	HSPA1A|HSPA1B|KLF10|FOS|DNAJB1|ZC3H12A|CSRNP1|AMH|PLD6|EPPK1|BAG3|BHLHE40|DNHD1|CRYAB|NR1D1|NAA16|NFKBIA|CDKN2AIP|OTUD3|TUBB1|ENGASE|NFKBIE|UNC13D|MXD1|ZNF398|FKBP4|MYLIP|DYRK2|FERMT3|DEDD2|PPRC1|CCDC117|ZNF317|IER5|ZNF778
BLUM_RESPONSE_TO_SALIRASIB_DN	0.000286123032904149	0.0299716607605461	-0.319538837089663	-1.57506844466084	0	279	FOS|TUBB4B|GTF2I|ID2|JUNB|TACC3|PDE4A|DDX23|CCNF|DBP|ID1|GMNN|LPCAT3|RBM14|F2R|INCENP|DDX39A|CEMIP2|GPSM2|MKI67|FEN1|AURKB|CHAF1A|NARF|FASN|LTBP3|BUB1|NDUFA2|HSPB1|SRRT|DGCR2|HMGB3|RAB4A|CARHSP1|SRSF2|CDC25A|LMNA|PIK3R3|POLE|NPAT|OPN3|HS3ST3A1|DHCR24|RECQL4|DHX9|CYB5A|SRSF6|TUBB2A|AURKA|EWSR1|SYNCRIP|TOPBP1|PGAM1|LIG1|PRC1|BRD3OS|DHX15|DTYMK|SUV39H1|PAFAH1B3|OAZ2|CDC20|KIF20A|FBXO5|NUP50|SFPQ|NASP|CKS2|TRIP13|DBR1|SMARCE1|NTHL1|MYBL2|SRSF1|HNRNPM|HMG20B|SRSF3|TECR|CCND3|TFDP1|PKM|ZBTB33|RFC2|MSH6
BLUM_RESPONSE_TO_SALIRASIB_UP	0.000158679784195494	0.0299716607605461	0.521441583603388	2.33892921565371	0	212	CTH|PSAT1|STC2|ATF3|TRIB3|TNFAIP3|PHGDH|SGPL1|MTHFD2|WARS1|CEBPG|ATF5|GFPT1|TNFRSF10B|GTPBP2|CARS1|IFRD1|CCNB1IP1|GARS1|USP25|CNIH1|UBE2H|AARS1|CBLB|ADPRM|MARS1|CSRNP2|XPOT|SLC33A1|RSL24D1|MDM4|LAPTM4A|GOT1|SIAH1|PMS2|SIAH2|TCEA1|COX7A2L|GADD45A|SARS1|ATF4|PPP1R15A|ELL2|CBX4|CD55|EPRS1|ATF6|EIF4EBP1|BTG1|CXCL3|CHIC2|ACVR1|EIF1B|TARS1|TIMM9|PSEN1|RALA|EIF2S2|EIF1|NARS1|RNF14|TSG101|SEC63|USP3|DCTD|HSPA9|SSR3|ERP29|DNAJC1|DUS4L|HMGCL|SUPV3L1|CSNK1A1|SNHG32|IARS1|NINJ1|VIM|BCAT1|ARF4|VPS28|TOM1L1|TBCE|ARHGEF2|AZI2|ANXA7|RAB32|NAMPT|RAD50|SEPHS2|NIT1|SHMT2
BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_DN	0.000335795836131632	0.0299716607605461	-0.283190119357052	-1.46646674199583	0	468	FAM8A1|CENPI|NXF1|DOLK|POLR2L|PIMREG|KIFC1|POLR1G|SMURF2|PON2|HMOX2|EXOSC4|SAC3D1|TMEM177|BDH2|CCNF|SLC38A6|ID1|CDCA3|GALNT6|C1orf216|NME7|TUSC2|GEMIN4|AMD1|H2AX|ALDH1B1|CCND1|UTP3|FUT4|INTS5|CCNE1|KANK2|RRS1|IMP3|HELLS|MKI67|MAT2A|ISG15|CXXC1|AURKB|BTD|SZRD1|PITX1|MPHOSPH9|LAGE3|MCM10|ZNF512B|TIMM8B|PDSS1|UQCR10|DNAAF2|CHST2|FBXL18|EFHD2|ADO|SMTN|MECP2|PYCR3|HYAL2|BUB1|GATC|B3GAT3|TGIF2|HES1|SRF|ATR|BIRC5|TRAM2|LMNB2|RRAGA|NDUFA3|ATP5MC1|VOPP1|LCMT2|ICAM1|APEX2|GEMIN6|CYB5A|CSTF2T|FHOD1|NDUFB7|PWP2|DPY19L1|AURKA|GINS4|BIN3|ASTE1|HJURP|CHPF2|MCAT|TIMM8A|DCAF8|STX10|DTYMK|METTL13|ENDOG|SNRNP25|HEXIM1|PYCARD|CCDC85B|RPS6KB2|HILPDA|DOK1|SLC5A6|PPM1F|SCAND1|BAG5|SPC25|KIF20A|MRPS17|JADE1|FBXO5|ANAPC15|NASP|THAP11|ELOA|HK2|CDCA4|ICMT|TNFAIP1|PRMT7|NTHL1|DAG1|YLPM1|RABIF|ICAM3|GGCX|UBTF
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_DN	0.000148566334868519	0.0299716607605461	0.338900941138522	1.60831980449553	0	354	INHBE|CTH|OSGIN1|LINC00885|MBNL2|TRIB3|TUBE1|ASS1|ATF5|PCK2|SDSL|CCDC71L|KHK|TRAM2-AS1|ERN1|IGF1|SOCS2|RBP5|NUDT12|ACSM3|TSC22D2|C11orf71|ALDH6A1|LONRF2|G0S2|PCCA|SIRT5|DHTKD1|ALDH2|CR1L|SPDYC|POLD4|GOT1|TTPAL|ACSL1|CTBS|DIRAS3|ETFRF1|ENO3|RAB27A|DECR1|XBP1|HMGN5|RBPMS2|PIGV|PLEKHF1|SCN9A|HPS5|CHP1|HIBADH|LONRF3|MOCOS|NRBP2|GPAT3|PLIN2|HAGH|NUDT7|ACO1|PCCB|SOCS2-AS1|EHHADH|NUDT16L2P|ALAS1|USP38|AIG1|ADK|ETFDH|FNDC4|ABHD14B|ACOT13|ACAT1|LACTB2|NFIL3|HMGCL|MAP7|DDX19B|TP53TG1|SLC31A1|UBE2L6|C11orf54|TIFA|MIA2|RIDA|CRADD|NNT|QDPR|ACY1|CFAP68|NSUN6|CBR4|MGST1|TMOD1|KCNK1|EPHX2|C4orf33|ACADS|MACO1|SCP2|HINT2|GSTZ1|NAMPT|MCEE|HADH|SMCO4|FGGY|HSD17B8|SAR1B|PDIA5|IL15RA|PI4K2B|PTER|NDUFV2P1
CHEN_HOXA5_TARGETS_9HR_UP	0.000161917098445596	0.0299716607605461	0.417537182525716	1.81442152578252	0	166	CTH|STC2|CHAC1|ATF3|TNFAIP3|DLX2|CEBPG|TNFRSF10B|CARS1|IFRD1|ZNF227|CEBPB|CDK17|PMAIP1|THAP9-AS1|VEGFA|RIPK2|ADPRM|TSC22D2|PIBF1|SCYL3|RCHY1|KLF6|ZNF451|ZNF468|SUPT20H|RSRC2|GAD1|JUN|ALG13|NCOA3|SEC24A|ARIH1|DCLRE1C|NEK1|SAT1|ZNF274|RYBP|PELI1|CASP3|ZCCHC8|NFIL3|CRY1|AVL9|SNX5|ZNF195
