pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE	0.000162048290390536	0.126477332862939	-0.74524527403626	-1.91177785048772	0	42	A2ML1|NCCRP1|H19|TMPRSS11B|KRT4|KRT13|LCN2|PTPN3|IGHA1
GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_STIMULATED_VS_UNSTIMULATED_0DY_VACCINATION_INDEPENDENT_DN	0.00014695077149155	0.126477332862939	-0.589678067150896	-1.7303017819193	0	105	DPEP2|ATXN1|C5|GSDME|ENC1|CHRM4|RCAN3|GLIPR1|INSR|FOLR2|TNS1|SERPINF1|KEL|NINJ2|SMAD6|RARG|HAMP
KEGG_TASTE_TRANSDUCTION	0.000170881749829118	0.126477332862939	-0.836095412257459	-1.92687915365113	0	24	PDE1A|TAS2R20|GNB3|TAS2R5|CACNA1A|TAS2R14|PLCB2|PRKACB
KORKOLA_TERATOMA	0.000166195778627223	0.126477332862939	-0.737648363180766	-1.82789800330237	0	35	PLAT|CLDN6|LCN2|DCN|PIGR|FAM72C|EPS8|COL14A1
MEBARKI_HCC_PROGENITOR_WNT_DN_CTNNB1_DEPENDENT	0.000172176308539945	0.126477332862939	-0.809006868169978	-1.84703540736344	0	23	A1BG|BCO2|USP43|RALGPS1|SOD2-OT1|DHDH
NABA_MATRISOME_ASSOCIATED	0.000117730162467624	0.126477332862939	-0.463367426692825	-1.55747651943088	0	467	PLAT|WNT11|CHRD|HPX|SEMA6B|MUC3A|CPAMD8|BMP8B|SEMA3B|THPO|S100A2|IL15|ADAM19|CBLN3|CLEC4A|A2ML1|C1QL1|ADAM22|CSF2|PLXNA4|COLEC12|FGF12|PLOD2|HPSE|FGF17|TGM1|TGFB3|LOXL3|EGFL8|GPC1|MMP19|FSTL3|PIK3IP1|MUC15|SEMA6A|SEMA3G|IL1B|ARTN|NRG1|IL17D|GDF9|ADAM11|FGF22|TIMP3|CLEC18B|ADAM8|CXCL1|EGLN2|SERPINF1|CCL4L2|GDF15|LGALS12|S100P|HYAL2|LGALS9|P3H3|ITIH5|PLXNA2|MMP1|LGALSL|CTSA|ANGPTL4|SERPINC1
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	0.000172176308539945	0.126477332862939	-0.826559058610082	-1.88710863602835	0	23	CHRM4|ADRA1D
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.000149790293588975	0.126477332862939	-0.610096333775569	-1.76497769052343	0	95	WFS1|STC2|APOA1|GOLM1|IGFBP2|KLK2|SCG2|FSTL3|QSOX1|TF|MGAT4A|PRSS23|RCN1|CCN1|APOL1|MMP1|SERPINC1|LTBP1|IGFBP6|VGF|APLP2|IL6|PRKCSH|APOE|PCSK9|HSP90B1|CALU|MXRA8|ANO8|SHISA5
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	0.000176397953783736	0.126477332862939	-0.87714643544432	-1.85868873733042	0	16	GSDME|CD14|LBP
REACTOME_SENSORY_PERCEPTION_OF_TASTE	0.000170881749829118	0.126477332862939	-0.792787502084362	-1.82707103596822	0	24	TAS2R20|GNB3|TAS2R5|TAS2R14|PLCB2|SCN2A
