pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53	0.000126119308866187	0.00494735018384122	-0.519278741168007	-1.85889704200868	0	75	SULT1A2|DHTKD1|PALM|ATP2A3|IL21R|ITPR2|DNAJB2|MICAL1|NEBL|ABHD8|CXCL2|BIN1|COL15A1|CCDC92|MXD1|TRPC1|CDK2AP2|DMC1|DNAJC1|ADD3|SNTB2|DGKA|KHK|ACSL1|CELSR2|RAD51|CXCL3|PRKAB1|KIAA0513
AMUNDSON_RESPONSE_TO_ARSENITE	0.00011127183709803	0.00494735018384122	-0.434285337861504	-1.74338689164471	0	189	TSC22D3|CTH|TAP1|IRAG2|ASNS|STC2|WARS1|HSPA13|PLAAT3|MAPK7|ST3GAL5|SLC1A4|CEBPG|SLC43A1|BCL3|TNFRSF10B|DDIT3|NFE2L1|OGT|UBE2H|CIT|FOXO3|PLTP|ATF3|CCPG1|TNKS|ZNF43|IL10RA|TFE3|ADAM17|UPP1|SERPINH1|GARS1|CEBPB|NEU1|CNTRL|EIF4EBP1|RPS6KC1|ZNF184|VEGFA|BCL2L2|TMF1|ACAP2|SLC7A5|ID3|ZSCAN26|MR1|PTPRB|MAFG|MARS1|BCAT1|CARS1|EXT1|TUBGCP3|IARS1|FHL2|GTF3C3|GOLGB1|GRN|TULP4|MMD|PRNP|SCRN3|ARIH1
BENPORATH_ES_WITH_H3K27ME3	0.000106575722050517	0.00494735018384122	-0.428563827011101	-1.77444446115243	0	276	UNC5B|MLXIPL|RTN4RL2|PIGZ|ITIH5|LINC01138|PAX8|ULBP1|CRYL1|TAP1|MAPT|PAX6|PPM1E|STC2|NXPH4|NIBAN1|SORCS1|TSLP|EIF4E3|CNNM2|RGS9|UCN|FOXA2|SLC1A4|TMEM54|PARD3B|GRK5|ZNF436-AS1|GLB1L2|SLC30A3|KLHL13|LTK|COLGALT2|HLA-C|BTG2|FUCA1|EPAS1|FBXL8|CITED1|GKAP1|ATF3|NTRK1|MNX1|WT1-AS|IL10RA|PIR|DUSP8|RCSD1|SPON2|ICAM5|SLC30A10|GLIPR2|LAMB1|FGF5|NRIP3|ICAM4|FBXO25|GPAT3|DCHS2|JUN|SCIN|HLA-B|DLK1|TTLL7|GSN|PIP5K1B|ULBP2|TIGD3|POLR3GL|NPAS1|GRK3|TLE2|FAM89A|ASTN2|CBX4|ITPKA|PPP1R14C|DPF3|TMEM106C|MXRA7|DLX2|FRAT1|POU3F2|RGS10|GRID1|DLX1|B4GALNT1|GRB10|RNF2|TMOD2|PGR|RTBDN|COMMD3|ERO1B|MICB|CD47|NBPF11|GAB3|HOXB8|CORO6|ANKRD27|NIN|TMEM185A|TCEAL8|CBX8|PRRT1|STXBP6|LRBA|ANXA2R|ANKRD18B|EFNA1|TP73|RAB40B|F2R|PRKCB|SHOX2|TRADD|HOXB7|HOXB3|PXMP2|BLVRB|CAMK2N1|NBL1
BERENJENO_TRANSFORMED_BY_RHOA_DN	0.00010634903754121	0.00494735018384122	-0.465162327590149	-1.93087730904384	0	291	ATF5|COL6A3|SMIM14|YPEL3|KDELR3|MEG3|ITPR2|ST3GAL5|ANXA4|DNAJB2|MARCKS|FN1|IDH1|GSTM3|PPP3CA|P2RX4|IFI27|SEL1L|TBX15|DHRS7|CCNG2|CASK|ITM2C|PCK2|RABAC1|DDIT3|NPC2|STX5|ASCC1|UBE2H|ARFGAP3|HEBP1|MAPRE3|PLTP|MAGED2|TOM1|PSAP|SEC23A|ANXA6|HLA-E|NRBP2|ARSA|PLD3|GAS6|SMAD6|HSD17B11|GSTZ1|RCN1|FAM8A1|NUCB2|LMO7|PDCD4|SPTAN1|TMEM205|SND1|GAA|SEC22B|ZFP90|DLK1|GSN|ID3|KLF9|RAB3D|SQSTM1|TAPBP|MCEE|CD24|IFT81|RRAS|TXNIP|MXD4|BPHL|CYP51A1|ALDH1A1|FKBP9|EPRS1|NFIB|CPQ|SLC44A2|RRAGC|SIRT2|MRC2|ERGIC3|ITM2B|GRB10|DAP|SLC1A5|TMED3|PLAT|PTEN|ECH1|BRI3|TXNDC16|GRN|GABARAP|CD47|PRNP|RTRAF|ATRAID|SMARCA2|RPL22|DTD1|LTBP4|TMEM59|SCD|CYP4V2|LRBA|RAB5B|DCTN2|CTDSP2|F2R|RAB24|SEC31A|SCP2|GRINA|PHYH|MROH1|BHLHE40
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN	0.000124347177319075	0.00494735018384122	-0.512608221989598	-1.87774693128226	0	88	CTH|PSAT1|DNASE2|HERPUD1|CEBPG|MTHFD2|TRIB3|OGDHL|ZFAND1|ZNF277|AARS1|ATF4|HLA-E|CCNB1IP1|RCSD1|GARS1|ZNF490|ZNF581|SARS1|IGBP1|LAPTM5|PGLS|NOP53|AIG1|XK|GPT2|PRKCZ|SESN2|TMPRSS4|EPRS1|EEF2|ZFP62|METTL9|GCHFR|MACROD1|NOA1|CBS|PRTFDC1|CRTAP
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP	0.000110265740434447	0.00494735018384122	-0.404664868395726	-1.63435428425684	0	204	CYFIP2|APOL6|TAP1|UBA7|GDF15|PMAIP1|IL23A|PLAAT4|DDX60L|SAMD9|CXCL2|GALM|BMPR2|CCNG2|KDM7A-DT|IFIT3|REC8|CTSS|IRF9|IRF2|CREB5|SLC7A11|G0S2|TRANK1|IL15RA|SHFL|PARP9|IRF1|PABIR3|FGF5|APOBEC3F|SP140L|DAPP1|GLRX|C3|DCP1A|BIRC2|KDM7A|GPAT3|TRIM38|CEMIP2|CASP7|OAS3|DRAM1|TDRD7|THEMIS2|BACH1|ARL5B|SKIL|KLF6|PGM2L1|ADAMTS6|SOCS1|CSGALNACT2|TNFAIP3|RBM43|TRIM56|STAT2|PLEKHA4|DTX3L|NMI|NPC1|NCOA7|SOCS3|HELZ2|CXCL3|GSDMD|LCP1|KIAA0040|TMEM217|NT5C3A|PLAT|TGM2|PLSCR1
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP	0.000103594737387341	0.00494735018384122	-0.367124118545766	-1.54825103274473	0	374	KLHDC7B|BTN3A1|APOL6|ULBP1|TAP1|WARS1|PALM|RBM11|UBA7|PSMB8|FLT3LG|RBCK1|OPTN|UBE2L6|IL23A|IFI35|PLAAT4|DDX60L|SLC35E4|CXCL2|IFI27|GALM|H2AC25|LGALS3BP|ADPRM|STOML1|BCL3|KDM7A-DT|ST7-AS1|IFIT3|REC8|PSMB9|HLA-C|ARRDC3|IRAK2|IRF9|ZNF442|CD40|BBC3|IRF2|BMF|NFKB2|RCAN1|APOL1|TRANK1|HLA-E|IL10RA|IL15RA|SHFL|DUSP8|SNAI1|PARP9|CMPK2|XBP1|IRF1|PABIR3|FGF5|APOBEC3F|CEBPB|MXD1|SP140L|DAPP1|GLRX|ZNF44|C3|BIRC2|PPP1R3B|PLEKHF1|JUN|AKAP7|HLA-B|BTN3A2|PPM1J|TRIM38|CASP7|KLF9|OAS3|TDRD7|THEMIS2|SIRT1|B2M|TESK2|RABGAP1L|TAPBP|CYLD|CBX4|PGM2L1|BCL2L13|SOCS1|KCNQ4|RBM43|TRIM56|CDKN1C|STAT2|RNF213|SP8|DLX2|DTX3L|NMI|NCOA7|CLIC4|PNRC1|SOCS3|FBXO6|MASTL|HELZ2|CXCL3|GSDMD|RGS16|GRB10|GTPBP1|H3C10|RIPK2
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	0.000115713955102985	0.00494735018384122	-0.532386689863825	-2.07424971252114	0	141	KLHDC7B|INHBE|ALDH1L2|ZBTB20|APOL6|CTH|ULBP1|TAP1|ASNS|STC2|RBM11|CXCL11|FLT3LG|UBE2L6|PMAIP1|IL23A|IFI35|DDX60L|SAMD9|CXCL2|BEST1|IRS2|FUT1|PCK2|IFIT3|NEDD4|KIF21B|PPP1R15A|ARRDC3|ISG20|IRAK2|ZNF442|BBC3|CREB5|G0S2|ATF3|TRANK1|IL10RA|IL15RA|DUSP8|PARP9|CMPK2|BACH2|IRF1|DAPP1|KDM7A|JUN|KLF9|OAS3|TDRD7|THEMIS2|KLF6|ADAMTS6|TXNIP|TNFAIP3|RBM43|ANKRD33B|STAT2|RNF213|SP8|BCAT1|DTX3L|NCOA7|CD69|HELZ2|CXCL3
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	0.000122699386503067	0.00494735018384122	-0.56645575934768	-2.09479421645016	0	93	BTN3A1|ALDH1L2|APOL6|TAP1|WARS1|NIBAN1|CXCL11|UBA7|HSPA5|UBE2L6|PMAIP1|DDX60L|SAMD9|IFIT3|PPP1R15A|CTSS|CD68|IRF9|CREB5|APOL1|ATF3|TRANK1|IL15RA|SHFL|PARP9|CMPK2|FZD4|IRF1|MXD1|CD55|SP140L|ERAP1|TRIM38|ULBP2|OAS3|TDRD7|HYOU1|THEMIS2|B2M|KLF6|TNFAIP3|STAT2|PLEKHA4|DTX3L|NMI|HELZ2
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	0.000116849731245618	0.00494735018384122	-0.52399548123935	-2.0185675856518	0	128	IL20RB|TMEM154|APOL6|ANPEP|TAP1|STC2|WARS1|IL21R|NIBAN1|FBXO32|CXCL11|UBA7|UBE2L6|PMAIP1|DDX60L|SAMD9|CXCL2|GK|IFIT3|PPP1R15A|CTSS|CD68|IRAK2|PTPRH|ARG2|CREB5|COL15A1|APOL1|ADM2|SORBS1|ATF3|TRANK1|IL15RA|PARP9|CMPK2|IRF1|MXD1|NRIP3|CD55|SP140L|C3|ICAM4|KDM7A|GALNT12|GPAT3|SAMD4A|ULBP2|OAS3|THEMIS2|B2M|LDLR|TNFAIP3|STAT2|PLAU|CHST11|PLEKHA4|DTX3L|SOCS3|HELZ2|ZNF697|LCP1|CD82|GIPR
