pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
AMIT_EGF_RESPONSE_40_HELA	0.000191828122002686	0.0061184011787515	0.648612916262994	2.05145382108324	0	29	JUN|BTG2|MBNL2|DUSP1|CDKN2AIP|KLF6|PPP1R15A|LDLR|CCNL1|CBX4|ZFP36|IER3|HES1|JUNB
AMIT_EGF_RESPONSE_60_HELA	0.000192418703097941	0.0061184011787515	0.677387361813072	2.20008076780033	0	33	HSPH1|CITED2|MBNL2|PMAIP1|KLF6|ZFP36L1|ATG4A|DNAJC24|LDLR|SLC20A1|MED20|TIPARP
AMUNDSON_RESPONSE_TO_ARSENITE	0.000180440274269217	0.0061184011787515	0.451704290499282	1.95459927681729	0	163	SERPINH1|HSPA4L|UBE2H|DNAJB4|FOXO3|CDC42EP3|ANLN|CPEB4|KDM6A|TSC1|DNAJA1|UBXN8|ZFX|ATP6V0E1|PLTP|RPS6KC1|SLC7A5|ADAM17|PRNP|BMP2K|SIAH2|ACAP2|ID3|UBE2B|CHD2|DNTTIP2|ZFAND5|DYRK1A|ATP2C1|TULP4|NEU1|KDM2A|ADNP|DAZAP2|FXR1|JUNB|ST13|LYZ|AHSA1|DNAJB6|NFE2L1|ARIH1|HSPA4|ATF3|HEXA|CTSA|PLIN2|MAFG|AP4B1|CEBPG|E2F6|SOD1|CHERP|ME1|NFE2L2|GTF3C3|HSPE1|RBM5
BAELDE_DIABETIC_NEPHROPATHY_DN	0.000174125021765628	0.0061184011787515	0.357595558532549	1.63573412785477	0	253	ZC3HAV1|CITED2|CDC42EP3|SERINC1|DUSP1|HSPA5|HSP90AA1|ACSL3|DNAJA1|CBLB|FNBP1L|AKAP10|FAT1|CD47|TAX1BP1|ATP6AP2|CD164|NEK7|PDIA3|SARAF|CREB3L2|ACBD3|KIAA0232|CDKN1C|XBP1|TRIB2|ARHGAP5|WWP1|GDE1|CD55|TMED5|PPP2CB|CALU|RPN2|PAFAH1B1|TRAM2|DYRK1A|SEC61G|OSER1|HSP90B1|TBCA|RAB21|CANX|BST2|RDX|RAB1A|LITAF|TMED10|ELF2|TUSC3|ARHGEF18|DST|RABGAP1L|NFE2L1|NECTIN2|CYP51A1|PCMT1|SMARCA2|ATP2A2
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP	0.000175070028011204	0.0061184011787515	0.355289483498889	1.6207501010322	0	247	HSPA6|HSPA1B|JUN|ID2|CITED2|CDC42EP3|DUSP1|GPBP1|MXD1|GALM|ZC3H12A|DNAJA1|SLC39A8|ANTXR2|C15orf39|CDC42EP4|MASTL|SP6|IRF1|HLA-E|CCNL1|BCL2L11|TIPARP|OSR2|B3GNT2|C11orf96|CBX4|SNAI1|SLC25A25|CDKN1C|XBP1|ARRDC3|THAP3|THAP9-AS1|B2M|EDARADD|TRIB2|TENT4B|TNFSF9|ZFP36|CLIC4|CYLD|KIAA0040|RAB8B|BST2|PLEKHF2|ZNF267|JUNB|FAM53C|TDRD7|PIK3R3|PTGS1|SIRT1|PLEKHF1|SLC8B1|ELK4|DAPP1|RABGAP1L|EMC9
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_UP	0.000178954903364352	0.0061184011787515	0.552918013049817	2.42371626341357	0	183	JUN|USPL1|BTG2|IER5|BCL10|DBP|HBP1|MXD1|CDKN2AIP|TNFAIP3|KLF6|SERTAD2|PPP1R15A|SNHG1|ZC3H12A|SKIL|GPCPD1|DCP1A|BTG1|EPC1|ESF1|ZNF778|PCF11|KDM7A|MIER1|IRF1|CCNL1|ZNF436-AS1|KLF11|CCNT2|TIPARP|ETV3|PPP1R15B|MED26|ARID4B|AEBP2|INO80D|ADNP2|TBC1D15|IL20RB|ENSG00000284691|CRTC2|DUSP10|CHD2|ZFP36|SERTAD3|IER3|PPTC7|SNHG20|TET3|KMT2E|RBBP6|UBXN7|CYLD|ZBTB43|ZNF143|TBC1D22B|ARID3B|ZNF267|HES1|OTUD3|H2BC21|HIVEP1|MYNN|ZEB2|CHASERR|FOXN2|ELL|SNIP1|TAF1D|CEP85L|FBXW7|ATF3|ZBTB21|MAFG|KLF10|SNHG10|EPM2AIP1|PNN|B3GNT5|ZNF296|MDM4|CCNT1
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	0.00017614937466972	0.0061184011787515	0.526912225622797	2.35482802575891	0	211	USPL1|BTG2|IER5|DUSP1|BTN2A1|GPBP1|BCL10|DBP|HBP1|MXD1|CDKN2AIP|TNFAIP3|KLF6|SERTAD2|ZFP36L1|PPP1R15A|SNHG1|SHOX2|PLEKHA4|ZC3H12A|SKIL|DCP1A|EPC1|PCF11|KDM7A|MIER1|IRF1|CCNL1|ZNF436-AS1|CNOT4|KLF11|CCNT2|TIPARP|ETV3|PPP1R15B|MED26|ARID4B|AEBP2|SNAI1|INO80D|TBC1D15|IL20RB|ENSG00000284691|CRTC2|THAP9-AS1|DUSP10|CHD2|ZFP36|SERTAD3|IER3|PPTC7|SNHG20|TET3|RBBP6|EIF1B|UBXN7|CYLD|ZBTB43|ZNF143|TBC1D22B|ARID3B|BST2|PLEKHF2|ZNF267|HES1|OTUD3|H2BC21|HIVEP1|MYNN|ZEB2|CHASERR|FOXN2|TICAM1|ELL|SNIP1|TAF1D|CEP85L|FBXW7|ATF3|ZBTB21|TRIM38|MAFG|SNHG10|PPP4R2|EPM2AIP1|PNN|B3GNT5|ZNF296|MDM4|CCNT1|RHEBL1
BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	0.000186011904761905	0.0061184011787515	0.543169432310014	1.99718385988812	0	59	IER5|DBP|TNFAIP3|SERTAD2|PPP1R15A|ZC3H12A|PCF11|IRF1|CCNL1|C11orf96|INO80D|ARRDC3|ZFP36|IER3|RLF|ZBTB43|PLEKHF2|ZNF267|JUNB|H2BC21|MALAT1|FOXN2|SNIP1|CEP85L|ATF3|ZBTB21|KLF10
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_UP	0.000186081131373279	0.0061184011787515	0.724231658679997	2.74188378035134	0	70	HSPA6|HSPA1B|HSPA1A|CRYAB|JUN|DNAJB1|ZFAND2A|BAG3|DNHD1|RBM15|IER5|DEDD2|DUSP1|MYLIP|MXD1|CDKN2AIP|TNFAIP3|PPP1R15A|ZC3H12A|FKBP4|HSPD1|EPC1|LRIG2|ZNF778|AMH|OSR2|MED26|PPRC1|SLC25A25|TENT4B
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	0.00018491124260355	0.0061184011787515	0.551011703386065	2.10258038619828	0	72	HSPA6|HSPA1B|ZC3HAV1|P4HA2|PMAIP1|MICB|MXD1|TNFAIP3|PPP1R15A|PLEKHA4|ZC3H12A|CHST11|LDLR|ANTXR2|KDM7A|IRF1|SAMD4A|IL20RB|B2M|CD55
