pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
AMIT_EGF_RESPONSE_480_HELA	0.000133725595078898	0.00925951343738056	-0.503421175557014	-2.02136214890224	0	107	LPCAT4|CCND1|PLAUR|MAD1L1|AGRN|RRBP1|DUSP7|TMEM158|SPHK1|SLC19A1|DPAGT1|MAP2K3|PDLIM7|BCL2L1|PLEC|HMGXB3|ZFP36L2|SMTN|TNFRSF12A|KYAT1|PCGF2|RRP12|LAMP1|GAK|ITGB5|TRAF4|BRD3OS|LTBR|MICAL2|ABHD2|DIAPH1|SH2D2A|TSPAN14|EHD1|XAB2|MYO9B|CCND3|SLC35F6|PHC2|ITPR3|LY6E|GPAA1|TGM2|DAPK3|EFHD2|ARHGDIA|CYB561|IGFBP4|NCLN|POM121|RELA|SH3BGRL3|ZYX|SLC1A5
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN	0.000325256139209628	0.00925951343738056	-0.716483411837613	-2.05862639160541	1	19	CFD|JAG2|STEAP3|ID1|DHRS3|BCL2L1|SMAD6|RREB1|TNFRSF12A|CPEB1|LBH|DGKD
BENPORATH_PROLIFERATION	0.00043994720633524	0.00925951343738056	0.422251363934159	2.02066281176839	0	138	LGALS8|ASF1A|GARS1|WDR26|DTL|ANLN|CKS2|HDAC2|CEBPG|RRM2|HIKESHI|RDX|CDK1|GDI2|NCAPG|RIT1|GINS3|BUB1|CENPU|RFC4|PDCD10|MAD2L1|PSMA3|MSH2|NDC80|EZH2|NDUFB5|PBK|EXO1|CYRIB|AVL9|DAP3|KPNA2|SLC25A5|NMI|TYMS|TP53BP2|PCNA|RAD51AP1|CDT1|GNB4|STMN1|SUV39H2|GART|SMAD2|CMSS1|GGCT|ANKRD27|RACGAP1|PRPF18|CKS1B|MAGOHB|KDELR2|NCS1|ATAD2|ILF2|GTPBP4|CSE1L|PPIL1|CTPS1|CCNB2|HSPA14|TOP2A|NEK2|SRPK1|CENPE|LBR|FIRRM|GPSM2|CSNK1G1|ARF1|CDC123|MRPL9|CDCA5
BENPORATH_SUZ12_TARGETS	0.000127975428717686	0.00925951343738056	-0.431111351237129	-1.80596467440582	0	148	F2R|HOXB6|CBX8|RGCC|BMX|TNFRSF1B|ICAM4|ICAM5|LONRF3|PCSK9|CLCN5|DLX1|PITX1|SIX5|WRAP73|PLEC|GATA2|TBX1|SMAD6|PTGER3|FUT4|ZNF436-AS1|RIPOR1|PHLDB1|TRADD|HOXC9|NTRK1|SPTB|CEBPD|CSMD1|LHX6|TBC1D1|METRNL|FEZ1|MTM1|RCSD1|SLC30A10|TENT5C|LEF1|PYCARD|ARHGAP6|IL17RA|LCORL|SLCO4A1|LBH|NFIA|HOXB3|FOXL2|NFIX|PIGV|ZFYVE28|MECOM|ZMYND11|POLE|NBPF11|C1orf122|HOXB7|IMPDH1|OSR2|ITPKA|GRIN2D|SLC40A1|RASSF5|PMP22
BHAT_ESR1_TARGETS_VIA_AKT1_UP	0.000125281884239539	0.00925951343738056	-0.421227774027006	-1.79152570564602	0	167	CCND1|TGIF2|FAAP100|TBKBP1|ADCY3|IER3|DHRS3|CARD19|SLC29A1|MYEOV|ATRIP|TSKU|LRFN4|ASB13|LTBP3|PITX1|RNF144A|PPARGC1B|PCYT2|FUT4|CAMTA1|WDR46|BRD9|SRM|RAB11FIP3|CBFA2T3|LRG1|SLC10A3|BHLHE40|SLC22A5|MCRIP2|MAG|RECQL4|CELSR2|UBALD1|RRP12|QSOX2|FLAD1|UNC119|ADAMTSL5|SCARB1|TENT5C|CXXC5|UBIAD1|SH2D2A|KDM4B|FCHO1|SUSD3|JADE2|KAZN|KHK|SLC2A8|GPATCH4|C1orf159|MED24|SLC2A1|E2F2|TWNK|PARP12|POLR1B|MYB|TIPARP|PAK4|RARA|SHB|CDC34|MYBBP1A|TGM2|GDF15|PRR5|SBNO2|MRPS17|EFHD2|AXIN1|MAT2A|IGFBP4|PAM16|TMEM120B|SLX9|SLC6A6
BHATTACHARYA_EMBRYONIC_STEM_CELL	0.00032797638570023	0.00925951343738056	0.548222073654728	2.27139569128462	0	62	MTHFD2|RSL24D1|HSPA4|CCNC|SERPINH1|DTL|CCT8|HDAC2|IDH1|NPM1|BRIX1|CDK1|LDHB|PSMA3|DSG2|RPL4|MGST1|RPS24|RPL7|RPL6|CALU|SSB|EPRS1|KPNA2|DDX21|GNL3
BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2	0.000323310701584223	0.00925951343738056	0.502302370633791	2.0573811592252	0	59	PSAT1|HSPA8|CNIH1|EIF3E|FXR1|TCP1|CCT4|MRPL30|OLA1|RTRAF|VDAC1|NUDT21|SLC25A3|NAP1L1|PRDX3|CRYZ|NSA2|GYG1|IGBP1|SLC25A5|AHCY|AIMP1|TOMM20|CS|BTF3|PAICS
BIOCARTA_PPARA_PATHWAY	0.0002963841138115	0.00925951343738056	0.505341271502864	1.91315652787325	0	40	HSPA1A|HSP90AA1|ME1|JUN|DUSP1
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_DN	0.000412031314379893	0.00925951343738056	0.442069520932386	2.06375627921318	0	119	HSPH1|HSP90AA1|CLIC2|HSPA5|CACYBP|LGALS8|DNAJA1|PSMC2|RANBP2|MXD1|SAT1|ALDH2|CKS2|HSP90AB1|ZW10|UTP18|IPO7|CCT4|COPS5|RB1CC1|CDK7|COX7A2L|MED17|ATP2A2|RPE|OPA1|KIF1B|AP3S1|PPA1|RPL6|PPP3R1|B4GALNT1|MARS1|ZFR|ROCK2|CDC27|PDHX|MRPL15|TMOD1|UBP1|CUL2|SEC31A|ARCN1|ORC5|NSFL1C|CCT5|AHSA1|GLRX|HADH|GNAS|TTC3|CSNK2A1
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_DN	0.000146327187591455	0.00925951343738056	-0.614532690992861	-2.20556324514334	0	53	C21orf58|LRRC45|MVK|ZNF467|ADAMTSL4|TUBAL3|EME1|DBP|SIX5|ZNF692|CHTF18|KIFC2|UNC13D|AQP3|SOX6|HYAL1|NBEAL2|MZF1|ABHD14A|RAP1GAP|MUTYH|CBX2|KMT5C|ECM1|CXXC5|SERF2|EFNA4
