pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
AMIT_EGF_RESPONSE_480_HELA	0.000279017857142857	0.0297449576925124	-0.497609497120957	-2.1493944843341	0	114	TUBB4B|TBC1D2|DUSP7|MAP2K3|SFN|CCND1|PHLDA2|SMTN|SLC19A1|RRBP1|TMEM158|TRAF4|MYO9B|ZFP36L2|TNFRSF12A|BRD3OS|NCLN|DAPK3|RRP1|HMGXB3|PPIF|ITGB5|TOR4A|MAD1L1|EGLN1|SORBS3|EHD1|SPHK1|LPCAT4|PGAP6|ACTN1|ARHGDIA|TSPAN14|TUBB2A|MTA1|CCND3|RELA|BRD2|PDLIM7|GAK
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN	0.000161524794055888	0.0297449576925124	0.594308646477188	2.24561599633614	0	79	CTH|SESN2|TRIB3|PSAT1|MYL5|GPT2|HERPUD1|CEBPG|AARS1|ZFAND1|MTHFD2|GARS1|RCSD1|ATF4|IFRD1|SARS1|CCNB1IP1|ZNF277|ELAC1|EPRS1|DNASE2|JRKL|LENG1|FANCF|TMEM79|RHAG|CRTAP|RPL3|EEF2KMT|CIRBP|RPL12|ABHD14B|RPL10A|SGSH|PRKCZ|EIF2S3|PYCR1|EEF2|PRTFDC1|RPL26
BILD_E2F3_ONCOGENIC_SIGNATURE	0.000296296296296296	0.0297449576925124	-0.384912009058531	-1.74042140482325	0	154	SOX12|CCNE2|RDH13|FUT11|MMP15|GCH1|NETO2|SFMBT1|KANK2|CHST2|SAC3D1|USPL1|TMEM158|TENT5A|MFHAS1|FEN1|SRSF6|SLC35G1|ABCC10|FBXO21|AK4|CENPX|DPY19L1|KISS1R|BRI3BP|CXXC5|KDM2B|SREBF1|POLE2|BCOR|CCNE1|ZNF275|GSE1|GINS1|CAMKK2|EIF4A1|FZD1|CCND3|E2F7|ZBTB42|TFDP1|CDKN1C|NEMF|POLE|SAMD1|AKT1|CMPK2|NOL4L
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_UP	0.000175100682892663	0.0297449576925124	0.80604565621583	2.39023691313247	0	24	INHBE|ADM2|ALDH1L2|CHAC1|STC2|DDIT3|ATF3|MTHFD2|TSC22D3|FUT1|BEX2|GAS5|ZFAS1|SNHG32
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	0.00015938795027096	0.0297449576925124	0.481723830835492	1.88150212886173	0	97	INHBE|ALDH1L2|CHAC1|CTH|STC2|ARRDC3|TNFAIP3|ATF3|PCK2|BBC3|KDM7A|PMAIP1|THEMIS2|NT5C3A|FUT1|IL23A|G0S2|KLF6|IRAK2|JUN|DTX3L|GADD45A|PPP1R15A|TRIM5|UBE2L6|CXCL3|NEDD4|TRANK1|KIF21B|RNF213|NCOA7|H1-3|PHF11|IL15RA|TDRD7|BCAT1
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_DN	0.000287852619458837	0.0297449576925124	-0.39463772816096	-1.76166660403574	0	139	FOS|SFN|F2RL3|SMTN|INPP5A|ARRDC2|ARAP3|PHLDB1|MTURN|ENTPD6|NDST1|EIF4E2|C2CD2|SLC66A2|FHIP2B|MPHOSPH10|LMBR1L|MBIP|MFAP1|RALGDS|BCOR|NES|GATA2|SGSM2|SPHK1|LETM1|ITPA|ASB1|TXNDC11|TUBA4A|RASSF1|CRY2|GAK|ZBTB44|ULK3|ENTR1|NCAPH2|RXRB|SLC25A44|ATG4B|RASA3|FAM32A|TSR1|PLEKHM1|MRTFA|MICAL3|GAS6|BAP1|TBCD|SNX11
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_UP	0.000263504611330698	0.0297449576925124	-0.483358540873412	-1.97884075686532	0	83	HSPA1A|HSPA1B|AMH|FOS|KLF10|NR1D1|DNAJB1|DYRK2|DNHD1|EPPK1|BAG3|ZC3H12A|CSRNP1|ZNF778|NAA16|TENT5A|PLD6|TENT4B|CCDC117|ZCCHC2|BHLHE40|CDKN2AIP|FKBP4|ZNF398|CRYAB|IER5|ENGASE|NFKBIA|NFKBIE|UNC13D|HSPA6|ABL2|MYLIP
BLUM_RESPONSE_TO_SALIRASIB_UP	0.000143740117866897	0.0297449576925124	0.469748788446811	2.04323514523663	0	215	CTH|STC2|TNFAIP3|PHGDH|ATF3|TRIB3|PSAT1|ATF5|WARS1|GTPBP2|SGPL1|CEBPG|ADPRM|GFPT1|AARS1|CARS1|PMS2|UBE2H|MTHFD2|GARS1|USP25|TNFRSF10B|GOLGA5|CBX4|EIF4EBP1|CNIH1|ATF4|MDM4|GADD45A|PPP1R15A|IFRD1|MARS1|SARS1|SNHG32|CCNB1IP1|CD55|CXCL3|TCEA1|EPRS1|ERP29|SIAH1|NIT1|SEL1L|GOT1|PSEN1|BTG1|TSG101|CSNK1A1|EIF2S2|CHIC2|ATF6|SHMT2|XPOT|BCAT1|DNAJC1|NPC1|RSL24D1|NARS1|NINJ1|COPG1|TOM1|MAP1LC3B|RALA|VPS28|APBA3|COX7A2L|HMGCL|TIMM9|SLC1A5|SIAH2|RAD50|CBLB|RPL12|SEPHS2|COX10|TP53|USP3|EIF1|DCTD|HSPA9|SCFD1|TARS1|SSR3
BROWNE_HCMV_INFECTION_14HR_UP	0.000276625172890733	0.0297449576925124	-0.385350373697121	-1.67743517413822	0	118	FOS|CCNE2|AQP3|NXF1|AMD1|IP6K1|USPL1|CGRRF1|SAFB2|FEN1|ISG20L2|JMJD6|CCNF|RBM14|BRMS1|KLHL18|CERS6|TENT4A|UBN1|HES1|SRRT|ZNF263|CCNE1|EIF4A3|PRPF3|KLHDC10|ING1|DDX3X|RCC1|ZNF200|DDX39A|PPP2R2A|NDEL1|ATP6V1C1|DCTN5|POLE3|H2AC8|THUMPD1|GRPEL1|GLA|RGS19|POT1|SYNJ1|HIPK1|PPM1D|UPF2|MARCKSL1|HYAL2|M6PR|ADNP2|VCP|CDC6|TAF6L|PNO1
BROWNE_HCMV_INFECTION_8HR_UP	0.000256607646907878	0.0297449576925124	-0.501478264234254	-1.92629161881348	0	59	HSPA1A|FOS|AMD1|DNAJB1|RBM38|DNAJA1|ICAM1|H2AX|GK|RAP2A|RBBP6|ZNF35|CCNE1|AKAP8L|ERF|DDX3X|RCC1|GNS|PIM2|KHDC4|SFPQ|MARK2|CALM1|LYZ|DLG1
