pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.000251635631605435	0.360845495722194	0.367509521126799	1.38123061517327	0	450	DNAJB2|CMYA5|SLC31A2|FERMT2|BCLAF3|SEMA7A|FBN1|BMF|ARID5B|ITGAV|ACOX3|PIK3IP1|FZD2|MAP3K14|STK38L|EXT1|DNAJC22|FZD7|EXOC6B|S1PR3|EPB41L5|GSTM3|DSE|GABBR2|ATP1B1|LIPH|HERC3|SESN3|EFNB2|CLDN9|ABLIM3|TGFBR2|TP53INP1|GLIPR2|PDP1|PGM5|KLHL24|LPCAT2|TJP2|CAMK2N1|ANKRD50|KLF5|ADAM9|DDIT3|PIK3C2B|TRIM5|JUN|DUSP10|UBE2H|GRAMD2B|USP2|KDM7A|KAT2B|RWDD2A|DRAM1|SFMBT2|SOS2|PNPLA8|DZIP3|BCKDHB|CD46|SNTB2|IL1R1|BICDL2|OSGIN2|VPS54|TRIM16|SLC39A10|LMBRD1|MME|TOM1L2|ZDHHC7|PAM|TSPAN12|RGL1|PMEPA1|MYO1B|BASP1|CDYL2|CTNND2|DIO2|KRT80|CDH2|AHNAK2|DDX60|DUSP1|MTCL1|NUAK2|EGLN3|FNBP1L|HPS3|ETFA|BAK1|CYB5R1|ZNF277|ANO6|UBA5|ACSL3|ENTPD3|SEC62|FBXO38|ABHD4|DTX3L|SH3BGRL2|TMEM30A|BCAP29|RIT1|ARL4C|PRSS8|TBC1D23|KIF3A|H4C8|HBP1|CLN8|RPS6KC1|SENP2|EPAS1|PCDH1|ZNF12|B4GALT4|NPHP3
GSE13306_RA_VS_UNTREATED_TCONV_DN	0.000228154232261008	0.360845495722194	0.472528606139138	1.60369272524294	0	161	MYO1F|ZC2HC1A|SERPING1|IL10RA|RALGAPA2|ABLIM3|IPMK|RYR1|SHISA4|EIF4E3|FZD4|GPR155|RBM4B|PIGF|BTBD10|AXIN2|MAD2L1|DCK|NAA80|OR8A1|SLC25A44|PSMA6|ZDHHC2|MME|TRDN|ADAM12|SPRN|TMEM106A|KCNS3|TTLL7|MATCAP2|IL5RA|ABHD16B|MMUT|RAMAC|FAM204A|CHCHD7|ACBD3|CDC5L|MDH1|LTK
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_12H_ACT_CD4_TCELL_DN	0.000225225225225225	0.360845495722194	0.499485643975445	1.66652095828001	0	142	EFHC2|COL15A1|BICDL1|NIPSNAP3B|COL4A5|IL12RB2|COL6A3|HARBI1|CXCL8|MTSS1|IL2RB|CD74|BCL6|SMOC2|ATP1B1|MIR3945HG|BMPR1A|MEX3C|FAM107B|GPR155|ALPK1|DUSP10|CYP3A5|PDK2|RBMXL1
GSE37532_WT_VS_PPARG_KO_VISCERAL_ADIPOSE_TISSUE_TREG_DN	0.000228050171037628	0.360845495722194	0.473678508944556	1.62509955315292	0	177	GPR137B|DNAJB2|CLN5|TFCP2L1|CLU|TAPBPL|PLAAT3|GLIPR2|ANXA4|LAMP2|QDPR|STAP2|INPP5B|NPC2|SLC52A3|CD44|ELL2|RASSF3|NSMCE3|TMEM39A|PAM|TAS1R3|PMEPA1|HTRA1|BASP1|STBD1|SDC2|GLCE|HIBADH|MYOM1|TSTD2|HSDL2|AREG|ADK|TRAPPC10|RAB10|SPOP|NSMCE2|CANX|NDRG1|CLDND1|GNB4|IDI1|DENND4C|DHPS|COG6|DNAJC13|SRP19|SIN3B|ATP2A2|SECISBP2L|CPNE3|CREG1|GPATCH8
GSE43863_NAIVE_VS_LY6C_INT_CXCR5POS_CD4_EFF_TCELL_D6_LCMV_DN	0.00018034265103697	0.360845495722194	-0.561006780740187	-1.81855876025895	0	135	TREX2|GAL3ST1|ARK2C|TEF|EPHA1-AS1|HIVEP3|MIR9-1HG|CXCL1|STOML1|CUL9|NOCT|MATN4|CCK|OR2A4|AMACR|TGM1|LOXL3|GCKR|AKNA|MFF-DT|C2orf92|BIRC3|MPIG6B|CRYBG2|CACFD1|VPS11
REACTOME_LAMININ_INTERACTIONS	0.000204792135981978	0.360845495722194	0.736165557000661	1.83391527938538	0	26	COL4A5|ITGAV|LAMA2|LAMA4|LAMB2|ITGB4|ITGB1|COL4A2
WP_OLIGODENDROCYTE_SPECIFICATION_AND_DIFFERENTIATION_LEADING_TO_MYELIN_COMPONENTS_FOR_CNS	0.000200240288346015	0.360845495722194	-0.764167396668613	-1.83289418783178	0	23	CXCL1|MAG|IL1B|FGF2|CXCL2|SOX6|PDGFB
GSE369_SOCS3_KO_VS_WT_LIVER_DN	0.000458295142071494	0.384420955882353	0.444548116903521	1.53304072407632	1	185	TTC39B|NCOA2|BCLAF3|FTX|PIK3IP1|STK38L|IPMK|TGFBR2|MMP11|ATG16L2|MEF2A|EVI5L|FAM76B|AGO4|HIPK3|FGD3|CEP89|PRMT9|INPP5K|DCK|MAP3K1|AKAP9|TRAF6|ANKRD16|PAIP2|NFATC1|CKAP2L|TBC1D8B|ANKRD6|PAM16|ZNF260|PHKA2|ZFAND6|CROT|FNIP1|TRIM63|RRM2B|JMJD1C|PPP1R13B|TSPYL4|DENND1B|HBP1|STAG3|UNKL|GANC|ARPC5|MSH3|RELCH|DLGAP4|ZW10|HMG20A|LTK|SECISBP2L|CALCOCO1|FAHD2A|SETX|CHMP1B|ADNP|PRRC2B|GSKIP|DLG1|CCDC32|THBD|MINDY2|NCAPD2|CYLD
GSE5142_CTRL_VS_HTERT_TRANSDUCED_CD8_TCELL_EARLY_PASSAGE_CLONE_UP	0.000459558823529412	0.384420955882353	0.433952895285696	1.49685254375357	1	186	OSGIN1|TTC39B|MYO1F|ZDHHC21|VAV2|CNRIP1|ACSBG1|ZNF862|RGS2|INPP5F|PLAAT3|POGLUT2|MTMR11|CD80|NOD1|TDRD7|APBB1|TJP2|PEAK1|PLCB4|ITGB1|BPNT2|MTBP|ACBD5|FLCN|STK3|PHLDA1|EIF2B2|CIBAR1|VPS54
LIM_MAMMARY_LUMINAL_PROGENITOR_UP	0.000387747188832881	0.384420955882353	-0.690181183775154	-1.87291254695812	1	42	IL4I1|HIVEP3|ANPEP|CD14|SORBS2|ATP6V1C2|LBP|RPS6KL1|PIGR|RASGEF1C|MELTF
MIKKELSEN_NPC_HCP_WITH_H3K27ME3	0.000349956255468066	0.384420955882353	-0.475361801085353	-1.62455502334749	1	219	RAP1GAP2|HCN2|MESP1|PAPPA|KCNK6|SCN5A|HOXC10|FOXD3|PGBD5|COL14A1|PITPNM3|PGR|SKOR1|SRCIN1|COLEC12|NKX6-1|CACNA2D2|CPLX1|DMBX1|ANKRD63|SLC30A3|RASGEF1C|FEV|GATA5|S1PR5|MAST1|HOXC6|IKZF3|HOXB8|AJM1|AMIGO2|DEGS2|SLIT2|JAG2|PPM1N|TNFRSF1B|PDGFB|HOXC8|PHLDA2|RAB11FIP4|PRPH|NPAS1|IKZF1|SOX18|C1QL1|KCNK3|CRYBA2|TMEM163|HOXB5|CYP2S1
